,Ranking,#Clusters,GMMweights,mean_test_scores,mean_train_scores
0,1,2,0.5,-11.59591697383887,-7.333136005250966
3,2,2,7.5,-11.843382449581398,-7.213929598286863
2,3,2,5,-12.192752806887402,-7.22944481516816
1,4,2,2.5,-12.453906988731761,-7.209936305198061
5,5,3,0.5,-15.09103215933342,-7.165148418728171
40,6,10,0.5,-16.234995153882743,-6.616999895799912
30,7,8,0.5,-16.299599277840564,-6.018820814211575
4,8,2,10,-16.53476534571108,-7.228140597105738
13,9,4,7.5,-17.144144111805865,-7.030176219761313
10,10,4,0.5,-17.179267420303944,-6.911445039987368
11,11,4,2.5,-17.196592471402685,-7.070370495703881
21,12,6,2.5,-17.550850488117828,-6.643614505410864
22,13,6,5,-17.799316485460857,-6.816637437074762
23,14,6,7.5,-18.261937898960074,-6.766988720467308
14,15,4,10,-18.296192183588154,-6.902965003705036
15,16,5,0.5,-18.639025007325056,-6.862749025718431
9,17,3,10,-19.30977151946233,-7.201119659148263
18,18,5,7.5,-19.495934321502084,-6.640199304869628
28,19,7,7.5,-19.88291832595204,-5.845919496571873
17,20,5,5,-20.002649357588844,-7.006307984224067
38,21,9,7.5,-20.055502790457044,-6.019776465499746
26,22,7,2.5,-20.681810358940755,-6.277781489441926
24,23,6,10,-20.90457203291797,-6.450778927658545
12,24,4,5,-20.920751027753365,-6.831427715457458
32,25,8,5,-20.93330223941648,-6.508300999840232
8,26,3,7.5,-21.181508301242424,-7.125087087426307
7,27,3,5,-21.19900550231889,-7.121793232946935
44,28,10,10,-21.35400100229149,-5.447577637358889
35,29,9,0.5,-21.50673919080052,-5.99346341238126
6,30,3,2.5,-21.78221013805741,-7.141407883184516
43,31,10,7.5,-22.175518699188874,-6.08335703868855
42,32,10,5,-22.783820086655844,-5.494674167896736
33,33,8,7.5,-23.58071936408791,-5.48012288713838
34,34,8,10,-23.85916490550076,-5.9111931091981855
37,35,9,5,-23.94940327441426,-6.001122171040986
31,36,8,2.5,-24.00047502006249,-5.695849413036857
27,37,7,5,-24.696649009772443,-5.920274429228962
39,38,9,10,-24.72774945273993,-5.371559457550974
41,39,10,2.5,-25.13305087234391,-5.923909190316259
36,40,9,2.5,-26.6397805773838,-5.2033986890660895
25,41,7,0.5,-28.608053395953107,-6.525294820676476
16,42,5,2.5,-30.68205326855638,-6.209379744022677
20,43,6,0.5,-30.717121331977534,-6.346747237224848
29,44,7,10,-32.95938075800483,-6.0514342291066985
19,45,5,10,-34.91340517902497,-6.627943479705415
